id_cliente,nome_cliente,cidade,idade,data_cadastro
1,Isaque Cardoso,Rios de Camargo,63,2023-08-28
2,Ravi Lucca Sampaio,Vargas da Praia,59,2023-03-27
3,Bruna Vasconcelos,das Neves,37,2023-03-03
4,Amanda das Neves,Gonçalves do Oeste,30,2023-02-19
5,Isabelly Caldeira,Rodrigues do Campo,27,2023-11-26
6,Ana Cecília Ferreira,Ribeiro da Praia,51,2023-02-16
7,Manuela Albuquerque,Mendonça do Campo,33,2023-07-08
8,Dr. Eduardo Lopes,Siqueira,21,2023-08-11
9,Júlia Pimenta,Martins de Lopes,56,2023-12-07
10,Dra. Juliana Duarte,Borges,43,2023-05-09
11,Isabelly Sá,Nunes de Pimenta,60,2023-10-07
12,Maitê Alves,Duarte de Cirino,38,2023-07-29
13,Luiz Gustavo da Luz,da Mota Paulista,61,2023-08-24
14,Valentim Correia,da Costa,26,2023-10-27
15,Rebeca Novais,Sales,64,2023-07-24
16,Rebeca Machado,Borges,19,2023-05-15
17,Nathan Sales,das Neves,59,2023-10-05
18,Maria Eduarda Melo,Lima da Prata,49,2023-05-29
19,Dr. João Gabriel das Neves,da Conceição do Campo,36,2023-10-28
20,Levi Campos,Correia,34,2023-04-15
21,Sra. Kamilly Silveira,Brito do Oeste,44,2023-05-16
22,Luiz Miguel Cavalcanti,Albuquerque da Prata,43,2023-03-11
23,Augusto Aragão,Sampaio Grande,42,2023-09-25
24,Bella Albuquerque,Melo do Amparo,65,2023-07-11
25,Sr. Benjamim da Cunha,Camargo de Azevedo,20,2023-06-25
26,Ana Sophia Oliveira,Cassiano,55,2023-03-19
27,Liz Barros,Campos,63,2023-08-25
28,Heloisa Vasconcelos,Machado dos Dourados,54,2023-05-16
29,Mariane das Neves,Pimenta,30,2023-11-04
30,Gustavo Henrique Pires,da Luz,39,2023-10-04
31,Emanuel da Costa,Novaes,64,2023-02-19
32,Alexandre Jesus,Sales de Peixoto,63,2023-07-22
33,Arthur Gabriel da Conceição,Santos da Mata,32,2023-10-21
34,Ana Sophia Rodrigues,da Luz,61,2023-11-22
35,Fernanda Lima,Nogueira,52,2023-04-18
36,Clarice da Mata,Barbosa,58,2023-02-13
37,Leandro Peixoto,Macedo do Campo,48,2023-07-22
38,Sra. Maria Luiza da Mata,Macedo de Barros,60,2023-09-10
39,Pedro Sousa,Pereira Paulista,40,2023-01-31
40,Ian Rocha,Teixeira,50,2023-10-09
41,Asafe Teixeira,Melo,37,2023-08-10
42,Melina da Mota,Pacheco,28,2023-07-09
43,Rebeca Borges,Ferreira de Jesus,60,2023-05-30
44,Sr. Enrico Farias,Sales do Amparo,53,2023-05-12
45,Maria Liz Teixeira,Marques,29,2023-02-24
46,Dr. Lorenzo Camargo,Moraes do Sul,36,2023-10-03
47,Nicole Jesus,Correia,24,2023-08-10
48,Dr. Pedro Miguel Teixeira,Costela,48,2023-05-04
49,Caroline da Paz,Sampaio de Mendonça,26,2023-03-09
50,Isaque Santos,das Neves,65,2023-08-22
